spl,treatment,week,rep,salinity,pH,temp,O2,NO3,NO2,PO4,Si,NH4,P,aCy,Al,"BB,Car",Bca,bCy,"BE,Car",Ca,"Ca,allo","Ca,epi","Ca,iso1","Ca,iso2","Ca,iso3","Ca,iso4","Ca,iso5","Ca,iso7",Car1,Car2,Cb,Cc2,Cda,Ct,"Ct,iso",Ec,F,"F,iso1",L,"L,iso1","L,iso2","My,iso1","My,iso2","My,iso3","My,iso4",O,"Pda,1",Pha,Pya,Z,EPS.prot.col,EPS.prot.bound,EPS.carbo.bound,EPS.carbo.col
C-R1-P1,C,P1,R1,"59,6","7,581","20,7","0,8","4,31","1,29","73,84","436,17","90,84","242,959","51,4101790000","56,9564053000","169,0505500000","198,4091290000","38,2791869000","10,6477356000","75,9080255000","6,7152561700","11,9490551000","1,0201038000","4,4392456800","0,4254704300","0,7484178600","5,8643153100","0,4152181300","13,6695373000","9,5803594600","0,2977440800","0,8608103400","0,3588304800","13,7863709000","46,0908757000","69,2222317000","24,0145984000","0,3162589800","30,2014990000","35,6926807000","17,5250478000","354,7069670000","49,4206348000","92,0649177000","41,0086118000","26,8133231000","21,9544712000","107,1777360000","114,5624220000","145,9252310000","537,9380906","327,6542116","37,6488858","380,582588"
C-R3-P1,C,P1,R3,"59,3","7,889","20,8","0,2","0,49","0,28","47,11","456,1","97,18","183,524","48,7635426000","39,2900520000","188,3843430000","157,5976810000","34,8150321000","12,6679276000","99,7290356000","9,1038341400","5,0412911900","0,4082216300","2,4886764300","0,1868966500","0,3983849600","4,0527062800","0,2114883100","9,9766465700","14,6286784000","0,2812784000","0,8947386700","0,3983849600","11,0976181000","41,4759464000","80,0690661000","46,7294009000","0,8293962900","19,4488560000","22,3633819000","16,6464271000","306,8099060000","64,3998141000","79,7010754000","42,7090151000","19,6730503000","68,3636340000","108,1945470000","97,4708395000","123,9794510000","337,8941237","248,3726994","34,3340934","316,181129"
C-R4-P1,C,P1,R4,"60,9","8,101","20,4","0,2","0,33","0,3","22,15","318,89","113,92","393,189","56,1600027000","77,2005616000","155,5993830000","234,9765820000","41,1766028000","8,7358755500","70,5347953000","7,3033964200","14,4417992000","18,8141315000","14,1360756000","2,2128563200","2,8291562200","7,5169176400","0,4998337700","13,1063991000","11,5579637000","0,1691186400","1,0186255700","0,3348401000","12,6086877000","40,5911262000","81,2611469000","44,6293425000","1,0378916900","18,5812240000","34,8950963000","17,0327887000","380,1408740000","69,0712761000","109,6624020000","47,0060726000","26,4893044000","56,4935113000","98,8164094000","101,2726490000","167,3969200000","663,4383631","385,3355838","87,5712001","410,579725"
C-R5-P1,C,P1,R5,"60,4","7,989","20,8","0,3","0,47","0,42","48,75","478,29","95,53","340,331","55,0042477000","50,5778560000","183,7069810000","230,0502890000","42,6236724000","14,1341750000","81,7794394000","7,5676817700","3,3502477300","1,0287738200","9,2966681400","0,5170800400","2,1060239000","15,5985811000","0,3339475200","10,0050856000","12,2147978000","0,3080385000","0,9044878200","0,2639262700","10,8030372000","40,7569131000","65,3067645000","30,8379917000","0,6424581600","17,4935546000","26,2710223000","15,2838424000","313,1653170000","56,3476600000","83,7849193000","55,9179937000","28,0510682000","26,8432758000","105,9051110000","112,8256430000","134,5469180000","430,3313189","333,2243558","60,1105669","510,536933"
C-R6-P1,C,P1,R6,"58,4","7,82","20,7","0,8","0,73","1,05","15,36","187,15","123,88","216,549","38,0943694000","69,5298157000","128,9031640000","245,9700600000","25,3191712000","8,9248728600","63,2728495000","6,3995707800","6,6068238700","0,4953854200","2,8863782900","0,3235170100","0,4650557000","3,9226437000","0,2224179400","9,9081427600","8,6408221700","0,2845746300","2,2636123700","0,3184620500","8,2951892800","45,9115685000","81,4784226000","65,6582922000","3,3889492200","18,9522033000","42,7432670000","17,5696717000","215,5021050000","49,4255028000","104,2659210000","28,7451351000","19,9891020000","28,5380405000","96,4388954000","120,6470260000","125,2919210000","312,4758072","290,3899383","36,4959982","284,001509"
T°C/pH-R2-P1,T°C/pH,P1,R2,"62,2","7,959","20,9","0,7","2,26","2,71","9,79","140,17","110,88","306,499","46,0781888000","43,8562359000","242,5550090000","215,0611900000","45,1834667000","19,8743426000","124,4948240000","13,0416629000","5,6235141800","1,1247028400","3,2420781800","0,2542806400","0,8019620200","6,0880653600","0,1760404400","11,3680713000","8,8604085200","0,3146161000","1,6423137700","0,4254310700","17,7208170000","46,2524470000","78,9073953000","40,4466298000","1,1866490100","18,4452529000","25,9682413000","17,4421878000","488,5484370000","57,6205183000","119,7548300000","85,4277123000","24,6308212000","21,3239170000","93,2921368000","127,3723260000","140,0390350000","1414,40376","951,9134605","73,1238153","1168,06881"
T°C/pH-R3-P1,T°C/pH,P1,R3,"61,3","7,947","21,1","0,4","0,32","0,08","12,09","277,05","120,95","285,54","60,9274290000","76,4466351000","153,3249640000","290,0410200000","26,1987945000","9,5241228800","89,6634149000","10,4765539000","13,0872162000","0,2712376400","4,9403999100","0,3487341100","0,3971694000","6,5678257700","0,4116999900","13,1366781000","7,5618693200","0,4155006000","1,9655987600","0,3777952900","10,3768718000","78,9304608000","101,9254790000","73,3509990000","3,8647729000","31,3513998000","39,7964071000","16,0620728000","241,1518760000","56,5760296000","114,6975510000","28,3156129000","32,2897340000","38,2822079000","150,6772620000","165,1980990000","152,6172900000","1025,932002","552,3983399","135,026762","1048,33655"
T°C/pH-R4-P1,T°C/pH,P1,R4,61,"8,129",21,"0,3","0,91","0,19","24,34","361,92","118,61","392,918","30,1276066000","46,5190445000","119,0014870000","231,9193140000","10,4839657000","9,0871432800","71,1955696000","7,0495918100","6,5525980000","4,1641326000","7,7492432900","1,1725193800","1,0567149900","5,2739246100","1,1580438300","8,4680057300","2,3644431600","0,2630159400","2,0931983700","0,4149657100","10,8324489000","47,5637984000","94,0211617000","60,1930682000","2,6792166800","37,5561553000","38,7108833000","22,4347165000","198,5032510000","39,2057668000","114,2081030000","42,1200804000","24,5242244000","26,4893849000","166,6388970000","146,5370230000","136,9177550000","708,5924604","298,0058117","15,5338677","477,129692"
T°C/pH-R5-P1,T°C/pH,P1,R5,"62,1","8,019",21,"0,7","1,12","0,38","44,66","363,08","89,68","165,389","33,2636722000","54,1799962000","195,2178490000","229,7134860000","15,5421641000","11,3199962000","93,8836163000","10,1155584000","15,2962089000","4,4283778400","7,2870136000","0,9829694900","1,0130603900","5,2558776700","0,2607878200","12,7448725000","12,8591763000","0,3674822000","3,6494065500","0,4363180900","19,5459480000","33,9482254000","82,6332349000","75,7025215000","3,6097932600","39,6634149000","33,8910735000","18,6886696000","377,4311120000","62,6956285000","99,7300562000","41,2636680000","21,5462643000","19,9169642000","85,3305232000","98,2179707000","143,5655590000","1805,83239","528,5728013","43,6032283","1212,18346"
T°C/pH-R6-P1,T°C/pH,P1,R6,"60,5","7,873","20,9","0,3","1,02","0,68","25,13","273,39","120,84","306,861","33,8665889000","44,7144792000","137,2862630000","202,2660320000","13,7404847000","9,5965756200","64,9488089000","6,2221627000","4,4622080300","3,1011099400","5,7884061600","0,7079704400","0,7677989200","5,6837063100","0,2293425400","8,1815565500","10,2269457000","0,1960279200","0,6488505300","0,2542710700","6,8179638000","37,6692500000","54,1106018000","41,1971364000","1,8250598000","23,9765060000","28,4649988000","11,1928239000","231,5835040000","40,1691700000","59,0322032000","32,5557771000","21,5334023000","33,0000581000","66,7765882000","104,4354780000","99,5422714000","646,8074445","305,7585615","1,37001094","458,692709"
